BR01	SQLite-provider-and-flat-file-POSIX-provider-have-independent-source-and-state
BR02	provider-B-does-not-use-SQLite-or-provider-A
BR03	both-providers-implement-auth-backend-v1
BR04	engine-RP-adapter-policy-and-vectors-are-byte-identical-across-provider-switch
BR05	only-backend-selection-and-provider-artifact-differ
BR06	semantic-outcome-failure-and-provenance-difference-is-zero
BR07	direct-versus-OIDC-difference-is-zero-for-each-provider
BR08	conclusion-is-limited-to-the-two-examined-providers
OI01	existing-engine-completes-Authorization-Code-plus-PKCE
OI02	adapter-maps-login-challenge-to-P1-contract
OI03	only-valid-proof-reaches-accepted-subject
OI04	selected-token-or-UserInfo-claims-match-projection
OI05	RP-validates-issuer-audience-nonce-expiry-and-signature
OI06	protocol-artifact-or-receipt-traces-to-pinned-provenance
OI07	subject-is-stable-across-claim-Context
OI08	incompatible-subject-policy-requires-migration-and-no-token
OI09	exact-root-and-published-head-login-remain-distinct
OI10	secret-sentinel-is-absent-from-all-protocol-surfaces
OI11	direct-and-pre-claim-OIDC-projection-difference-is-zero
OI12	subjects-do-not-collide-or-reassign-and-pairwise-sectors-separate
PN01	valid-synthetic-proof-returns-Accepted-Authentication-Evidence
PN02	wrong-unknown-and-malformed-results-remain-distinct
PN03	exact-root-and-published-head-read-remain-distinct
PN04	evaluation-input-closure-is-pinned
PN05	accepted-result-includes-selected-projection-and-provenance
PN06	fixed-input-rerun-is-semantically-deterministic
PN07	historical-fixed-input-remains-replayable
PN08	non-selected-secret-is-absent-from-every-output-surface
PN09	ordinary-authentication-read-does-not-write-state-result-or-observation
PN10	credential-result-does-not-change-Repository-Source
PN11	record-only-creates-one-Result-and-no-state-or-Observation
PN12	ordinary-provenance-needs-no-persisted-Result
PN13	login-needs-no-canonical-engine-user-record
PN14	forced-reauth-ignores-stale-or-decoy-engine-identity
PN15	raw-OIDC-sentinels-are-absent-from-backend-and-Repository-surfaces
