gate-set-partial	010	fault-configuration-valid	INVALID	fault-configuration-invalid	fault-configuration-receipts.tsv
gate-set-partial	020	activation-bound	INVALID	fault-activation-unbound	fault-activation-receipts.tsv
gate-set-partial	030	trigger-bound	INVALID	fault-trigger-unbound	evidence-binding-receipts.tsv
gate-set-partial	040	command-nonzero	INVALID	fault-command-status-invalid	command-receipts.tsv
gate-set-partial	050	exact-error-identity	INVALID	fault-error-identity-invalid	fault-trigger-receipts.tsv
gate-set-partial	060	transient-shape	INVALID	fault-phase-shape-invalid	fault-trigger-receipts.tsv
gate-set-partial	070	same-connection-health	INVALID	fault-connection-custody-invalid	fault-trigger-receipts.tsv
gate-set-partial	080	setup-inventory-exact	INVALID	scenario-precondition-invalid	inventory-setup-before.tsv
gate-set-partial	090	rollback-inventory-exact	FAIL	rollback-inventory-drift	inventory-rollback-after.tsv
gate-set-partial	100	target-residue-zero	FAIL	partial-residue-present	inventory-rollback-after.tsv
gate-set-partial	110	no-commit	FAIL	failed-attempt-committed	data-version-receipts.tsv
gate-set-partial	120	reopened-unavailable	FAIL	failed-root-became-available	resolution-receipts.tsv
gate-set-poisoned	010	fault-configuration-valid	INVALID	fault-configuration-invalid	fault-configuration-receipts.tsv
gate-set-poisoned	020	activation-bound	INVALID	fault-activation-unbound	fault-activation-receipts.tsv
gate-set-poisoned	030	trigger-bound	INVALID	fault-trigger-unbound	evidence-binding-receipts.tsv
gate-set-poisoned	040	command-nonzero	INVALID	fault-command-status-invalid	command-receipts.tsv
gate-set-poisoned	050	exact-error-identity	INVALID	fault-error-identity-invalid	fault-trigger-receipts.tsv
gate-set-poisoned	060	transient-shape	INVALID	fault-phase-shape-invalid	fault-trigger-receipts.tsv
gate-set-poisoned	070	same-connection-health	INVALID	fault-connection-custody-invalid	fault-trigger-receipts.tsv
gate-set-poisoned	080	setup-inventory-exact	INVALID	scenario-precondition-invalid	inventory-setup-before.tsv
gate-set-poisoned	090	rollback-inventory-exact	FAIL	rollback-inventory-drift	inventory-rollback-after.tsv
gate-set-poisoned	100	no-commit	FAIL	failed-attempt-committed	data-version-receipts.tsv
gate-set-poisoned	110	retry-reopen	INVALID	retry-reopen-invalid	command-receipts.tsv
gate-set-poisoned	120	retry-hook-absent	FAIL	retry-hook-retriggered	command-receipts.tsv+fault-trigger-receipts.tsv
gate-set-poisoned	130	retry-commit	FAIL	retry-not-committed	data-version-receipts.tsv
gate-set-poisoned	140	retry-resolution	FAIL	retry-root-unavailable	resolution-receipts.tsv
gate-set-poisoned	150	durability-reopen	INVALID	durability-reopen-invalid	command-receipts.tsv
gate-set-poisoned	160	durability-resolution	FAIL	reopened-retry-root-unavailable	resolution-receipts.tsv
gate-set-rollback	010	fault-configuration-valid	INVALID	fault-configuration-invalid	fault-configuration-receipts.tsv
gate-set-rollback	020	activation-bound	INVALID	fault-activation-unbound	fault-activation-receipts.tsv
gate-set-rollback	030	trigger-bound	INVALID	fault-trigger-unbound	evidence-binding-receipts.tsv
gate-set-rollback	040	command-nonzero	INVALID	fault-command-status-invalid	command-receipts.tsv
gate-set-rollback	050	exact-error-identity	INVALID	fault-error-identity-invalid	fault-trigger-receipts.tsv
gate-set-rollback	060	transient-shape	INVALID	fault-phase-shape-invalid	fault-trigger-receipts.tsv
gate-set-rollback	070	same-connection-health	INVALID	fault-connection-custody-invalid	fault-trigger-receipts.tsv
gate-set-rollback	080	setup-inventory-exact	INVALID	scenario-precondition-invalid	inventory-setup-before.tsv
gate-set-rollback	090	rollback-inventory-exact	FAIL	rollback-inventory-drift	inventory-rollback-after.tsv
gate-set-rollback	100	rollback-inventory-equality	FAIL	rollback-inventory-not-equal	inventory-setup-before.tsv+inventory-rollback-after.tsv
gate-set-rollback	110	no-commit	FAIL	failed-attempt-committed	data-version-receipts.tsv
gate-set-rollback	120	reopened-unavailable	FAIL	failed-root-became-available	resolution-receipts.tsv
