bc02-artifact-cardinality.tsv	5	scenario_id,artifact_name,presence,exact_row_count,count_source	presence=required;exact_row_count=decimal
bc02-assertion-aggregation.tsv	6	assertion_id,scenario_id,membership,aggregation_rule,nonpass_precedence,evidence	membership=required;aggregation_rule=all-required-scenarios-pass-and-gates
bc02-cases.tsv	11	assertion_id,case_id,polarity,input_shape,primary_operation,hook_id,correction_operation,retry_operation,expected_initial,expected_final,disposition	assertion_id=BC02_*;disposition=PASS
bc02-contract-digests.tsv	3	file_name,mode,sha256	mode=100644;sha256=lowercase-hex-64
bc02-correction-receipt-template.tsv	11	run_id,namespace_id,assertion_id,case_id,correction_id,operation_id,outcome,object_ref,request_ref,root_ref,nonce	outcome=applied
bc02-correction-write-guard-template.tsv	13	run_id,namespace_id,assertion_id,case_id,correction_id,operation_id,allowed_relation,allowed_object_ref,allowed_write_kind,guard_revision,guard_ddl_sha256,status,nonce	allowed_write_kind=insert-only;status=enforced
bc02-coverage-template.tsv	6	raw_scenario_id,raw_id,edge_kind,normalized_scenario_id,observation_id,coverage_scope	edge_kind=record;coverage_scope=all
bc02-data-version-receipt-template.tsv	10	run_id,namespace_id,assertion_id,case_id,observer_id,stage,observation_kind,value,sequence,connection_custody	observation_kind=data-version;connection_custody=held
bc02-error-identities.tsv	4	error_id,error_marker,error_kind,command_status	command_status=decimal
bc02-fault-activation-template.tsv	10	run_id,namespace_id,assertion_id,case_id,attempt_id,operation_id,hook_id,phase,nonce,implementation_revision	-
bc02-fault-binding-template.tsv	17	run_id,namespace_id,assertion_id,case_id,attempt_id,nonce,activation_sha256,configuration_sha256,trigger_sha256,command_sha256,before_inventory_sha256,after_inventory_sha256,resolution_sha256,data_version_before_sha256,data_version_after_sha256,error_id,error_marker	sha256-fields=lowercase-hex-64
bc02-fault-configuration-template.tsv	14	run_id,namespace_id,assertion_id,case_id,hook_id,phase,nonce,implementation_revision,activation_sha256,trigger_name,ddl_sha256,error_literal_sha256,when_predicate_sha256,status	status=configured
bc02-fault-marker-template.tsv	11	assertion_id,run_id,case_id,namespace_id,nonce,implementation_revision,hook_id,phase,triggered,before_inventory_sha256,after_inventory_sha256	triggered=true
bc02-fault-trigger-template.tsv	21	run_id,namespace_id,assertion_id,case_id,attempt_id,operation_id,hook_id,phase,nonce,implementation_revision,activation_sha256,triggered,transient_header_count,transient_member_count,transient_ancestry_count,same_connection_health,error_id,error_marker,raw_stderr_sha256,parsed_literal_sha256,error_kind	triggered=true;same_connection_health=ok;error_kind=injected-rollback
bc02-inventory-*.tsv	6	scenario_id,relation_name,row_key,field_name,field_value,multiplicity	scenario_id={scenario};multiplicity=decimal-four-digits
bc02-inventory-map.tsv	6	assertion_id,case_id,stage,runtime_artifact,expected_template,comparison_role	comparison_role=expected-exact|expected-exact-delta|harness-expected-exact|equality-left|equality-right
bc02-gate-results-template.tsv	9	scenario_id,gate_set_id,ordinal,gate_id,evidence_source,evidence_sha256,disposition,reason_code,evaluator_revision	disposition=PASS;reason_code=-
bc02-mandatory-gate-sets.tsv	6	gate_set_id,ordinal,gate_id,failure_disposition,failure_reason_code,evidence_source	failure_disposition=INVALID|FAIL
bc02-mutant-applicability.tsv	3	applicability_set,scenario_id,hook_or_dash	scenario_id=materialized-assertion-and-case
bc02-mutants.tsv	5	control_id,control_kind,mutant_id,expected_error,applicability_set	-
bc02-normalization-rules.tsv	6	rule_id,source_relation_set,raw_endpoint_count,transform,normalized_endpoint_count,output_kind	raw_endpoint_count=one|two|three|five|seven;normalized_endpoint_count=one
bc02-normalized-contract.tsv	6	scenario_id,observation_id,relation,subject,status,value	scenario_id=materialized-assertion-and-case
bc02-observer-custody-template.tsv	13	run_id,namespace_id,assertion_id,case_id,observer_id,process_occurrence,connection_nonce,opened_stage,fault_before_sequence,fault_after_sequence,retry_sequence_or_dash,transcript_sha256,status	status=held-through-required-stages
bc02-oracle-result-template.tsv	8	scenario_id,oracle_id,oracle_kind,target,expected_sha256,actual_sha256,disposition,evaluator_revision	disposition=PASS
bc02-raw-seal-template.tsv	9	artifact_name,mode,sha256,bytes,run_id,namespace_id,scenario_id,receipt_set_sha256,status	mode=100644;status=sealed-before-normalization
bc02-raw-template.tsv	6	scenario_id,raw_id,source_relation,stage,record_key,record_value	scenario_id=materialized-assertion-and-case;source_relation=direct-receipt-or-sqlite-extraction
bc02-resolution-receipt-template.tsv	10	run_id,namespace_id,assertion_id,case_id,stage,request_ref,root_ref,availability,membership,ancestry_boundary	availability=available|root-unavailable
bc02-root-action-receipt-template.tsv	19	run_id,namespace_id,assertion_id,case_id,attempt_id,operation_id,outcome,request_ref,root_ref,required_member_count,matched_required_count,persisted_member_count,ancestry_boundary,transaction_outcome,nonce,error_id,error_marker,failure_subject,failure_reason	transaction_outcome=committed|rolled-back
bc02-runtime-artifacts.tsv	5	artifact_name,field_count,cardinality_class,artifact_kind,evidence_source	field_count=decimal
bc02-scenario-gates.tsv	2	scenario_id,gate_set_id	scenario_id=materialized-assertion-and-case
bc02-steps.tsv	7	assertion_id,case_id,ordinal,step_kind,operation_or_relation,namespace_mode,stage	ordinal=decimal;namespace_mode=same
