bc02-complete-available--case-bc02-complete	raw-ancestry-01	resolution-receipt	success	ancestry/root-02	bound/genesis-02
bc02-complete-available--case-bc02-complete	raw-ancestry-persistence-01	inventory-repository	success-after	root-ancestry/semantic-row-count	1
bc02-complete-available--case-bc02-complete	raw-availability-01	resolution-receipt	success	availability/root-02	available/1
bc02-complete-available--case-bc02-complete	raw-formation-01	action-receipt	action	attempt/outcome/root	attempt-complete/complete/root-02
bc02-complete-available--case-bc02-complete	raw-header-persistence-01	inventory-repository	success-after	root-header/semantic-row-count	1
bc02-complete-available--case-bc02-complete	raw-member-persistence-01	inventory-repository	success-after	root-member/semantic-row-count	3
bc02-complete-available--case-bc02-complete	raw-membership-01	resolution-receipt	success	membership/root-02	complete/3/3
bc02-complete-available--case-bc02-complete	raw-reopened-resolution-01	resolution-receipt	reopened	resolution/root-02	available/1
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-attempt-identity-01	action-receipt	initial-form	attempt/request/root	attempt-initial/request-02/root-02
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-attempt-identity-02	action-receipt	retry	attempt/request/root	attempt-retry/request-02/root-02
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-01	correction-receipt	correction	object/outcome	object-c/applied
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-02	inventory-repository	rollback-after	semantic-inventory-sha256	{rollback-after-sha256}
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-03	inventory-repository	correction-after	semantic-inventory-sha256	{correction-after-sha256}
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-isolation-01	correction-write-guard-receipt	correction	allowed-write	source-object/object-c/insert-only
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-isolation-02	inventory-repository	rollback-after	protected-relations-sha256	{rollback-protected-sha256}
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-isolation-03	inventory-repository	correction-after	protected-relations-sha256	{correction-protected-sha256}
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-error-identity-01	action-receipt	initial-form	attempt-initial/error-id/error-marker	error-bc02-incomplete/LICIUM_BC02_ROOT_INCOMPLETE
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-failure-reason-01	action-receipt	initial-form	object-c/error-id/error-marker	missing-required-member/root-unavailable
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-initial-availability-01	resolution-receipt	unavailable	availability/root-02	unavailable/0
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-initial-formation-01	action-receipt	initial-form	attempt/outcome/root	attempt-initial/root-unavailable/root-02
