profile-create-namespace	profile	create-isolated-namespace
profile-destroy-namespace	profile	destroy-isolated-namespace
profile-reopen-namespace	profile	reopen-backend-connection
profile-run-scenario	profile	run-profile-scenario
runner-bind-evidence	runner	bind-run-evidence
runner-normalize-observations	runner	normalize-declared-fields
sut-advance-and-resolve	sut	advance-ambient-and-resolve-pin
sut-apply-effect	sut	apply-repository-effect
sut-correct-root-input	sut	add-missing-root-source-input
sut-deliver-association	sut	deliver-association-occurrence
sut-deliver-collision	sut	deliver-colliding-payload
sut-deliver-distinct	sut	deliver-distinct-occurrence
sut-derive-heads	sut	derive-authority-heads
sut-evaluate-output	sut	evaluate-selected-output
sut-evaluate-placement	sut	evaluate-placement-decision
sut-evaluate-pure	sut	evaluate-without-persistence
sut-explain-result	sut	explain-pinned-result
sut-form-root	sut	form-complete-root
sut-materialize-view	sut	materialize-selected-view
sut-publish-root	sut	publish-root-for-authority
sut-read-exact	sut	read-exact-root
sut-read-published	sut	read-published-root
sut-record-result	sut	record-existing-outcome
sut-replay-result	sut	replay-pinned-result
sut-resolve-pinned-closure	sut	resolve-complete-pinned-closure
sut-retry-delivery	sut	retry-delivery-idempotently
sut-retry-root	sut	retry-root-formation
sut-setup-bc01	sut	prepare-delivery-state
sut-setup-bc02	sut	prepare-root-state
sut-setup-bc03	sut	prepare-publication-state
sut-setup-bc04	sut	prepare-read-state
sut-setup-bc05	sut	prepare-closure-state
sut-setup-bc06	sut	prepare-pure-evaluation-state
sut-setup-bc07	sut	prepare-write-axis-state
sut-setup-bc08	sut	prepare-effect-state
sut-setup-bc09	sut	prepare-failure-state
sut-setup-bc10	sut	prepare-output-closure-state
sut-setup-bc11	sut	prepare-replay-state
sut-setup-bc12	sut	prepare-placement-state
sut-store-root	sut	store-root-without-publication
sut-validate-integrity	sut	validate-semantic-integrity
