case-duplicate	authoritative-state	scope-1	revision	rev-2	0001
case-duplicate	current-view	scope-1	binding	view-1,rev-2	0001
case-duplicate	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-duplicate	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-duplicate	evaluation-result	result-1	completeness	complete	0001
case-duplicate	evaluation-result	result-1	disposition	accepted	0001
case-duplicate	evaluation-result	result-1	payload	public-a	0001
case-duplicate	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-duplicate	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-fault	authoritative-state	scope-1	revision	rev-2	0001
case-fault	current-view	scope-1	binding	view-1,rev-2	0001
case-fault	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-fault	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-fault	evaluation-result	result-1	completeness	complete	0001
case-fault	evaluation-result	result-1	disposition	accepted	0001
case-fault	evaluation-result	result-1	payload	public-a	0001
case-fault	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-fault	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-incomplete	authoritative-state	scope-1	revision	rev-2	0001
case-incomplete	current-view	scope-1	binding	view-1,rev-2	0001
case-incomplete	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-incomplete	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-incomplete	evaluation-result	result-1	completeness	complete	0001
case-incomplete	evaluation-result	result-1	disposition	accepted	0001
case-incomplete	evaluation-result	result-1	payload	public-a	0001
case-incomplete	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-incomplete	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-rejected	authoritative-state	scope-1	revision	rev-2	0001
case-rejected	current-view	scope-1	binding	view-1,rev-2	0001
case-rejected	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-rejected	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-rejected	evaluation-result	result-1	completeness	complete	0001
case-rejected	evaluation-result	result-1	disposition	accepted	0001
case-rejected	evaluation-result	result-1	payload	public-a	0001
case-rejected	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-rejected	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-stale	authoritative-state	scope-1	revision	rev-2	0001
case-stale	current-view	scope-1	binding	view-1,rev-2	0001
case-stale	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-stale	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-stale	evaluation-result	result-1	completeness	complete	0001
case-stale	evaluation-result	result-1	disposition	accepted	0001
case-stale	evaluation-result	result-1	payload	public-a	0001
case-stale	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-stale	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
