BC02_COMPLETE_AVAILABLE	case-bc02-complete	010	setup-operation	sut-setup-bc02	same	setup
BC02_COMPLETE_AVAILABLE	case-bc02-complete	020	inventory-observation	inventory-repository	same	setup-before
BC02_COMPLETE_AVAILABLE	case-bc02-complete	030	action-operation	sut-form-root	same	form
BC02_COMPLETE_AVAILABLE	case-bc02-complete	040	inventory-observation	inventory-repository	same	success-after
BC02_COMPLETE_AVAILABLE	case-bc02-complete	050	resolution-observation	norm-bc02-observation	same	success
BC02_COMPLETE_AVAILABLE	case-bc02-complete	060	reopen-operation	profile-reopen-namespace	same	durability-reopen
BC02_COMPLETE_AVAILABLE	case-bc02-complete	070	resolution-observation	norm-bc02-observation	same	reopened
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	010	setup-operation	sut-setup-bc02	same	setup
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	020	inventory-observation	inventory-repository	same	setup-before
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	030	action-operation	sut-form-root	same	initial-form
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	040	inventory-observation	inventory-repository	same	rollback-after
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	050	resolution-observation	norm-bc02-observation	same	unavailable
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	060	correction-operation	sut-correct-root-input	same	correction
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	070	inventory-observation	inventory-repository	same	correction-after
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	080	action-operation	sut-retry-root	same	retry
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	090	inventory-observation	inventory-repository	same	retry-after
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	100	resolution-observation	norm-bc02-observation	same	retry-success
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	110	reopen-operation	profile-reopen-namespace	same	durability-reopen
BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	120	resolution-observation	norm-bc02-observation	same	reopened
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	010	setup-operation	sut-setup-bc02	same	setup
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	020	inventory-observation	inventory-repository	same	setup-before
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	030	action-operation	sut-form-root	same	form
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	040	inventory-observation	inventory-repository	same	rollback-after
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	050	resolution-observation	norm-bc02-observation	same	unavailable
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	060	reopen-operation	profile-reopen-namespace	same	durability-reopen
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	070	resolution-observation	norm-bc02-observation	same	reopened
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	010	setup-operation	sut-setup-bc02	same	setup
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	020	inventory-observation	inventory-repository	same	setup-before
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	030	action-operation	sut-form-root	same	form
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	040	inventory-observation	inventory-repository	same	rollback-after
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	050	resolution-observation	norm-bc02-observation	same	unavailable
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	060	reopen-operation	profile-reopen-namespace	same	durability-reopen
BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	070	resolution-observation	norm-bc02-observation	same	reopened
BC02_PARTIAL_RESIDUE	case-bc02-after-root-header	010	setup-operation	sut-setup-bc02	same	setup
BC02_PARTIAL_RESIDUE	case-bc02-after-root-header	015	fault-configuration	hook-bc02-after-root-header	same	configure-before-baseline
