neg-bc01-association-idempotent	BC01_ASSOCIATION_IDEMPOTENT	sut-mutant	detect-association-duplication
neg-bc01-distinct-occurrence	BC01_DISTINCT_OCCURRENCE	sut-mutant	detect-occurrence-collapse
neg-bc01-occurrence-collapse	BC01_OCCURRENCE_COLLAPSE	sut-mutant	detect-occurrence-collapse
neg-bc01-payload-collision	BC01_PAYLOAD_COLLISION	counterfactual	detect-payload-collision-acceptance
neg-bc01-retry-duplication	BC01_RETRY_DUPLICATION	sut-mutant	detect-retry-duplication
neg-bc02-complete-available	BC02_COMPLETE_AVAILABLE	sut-mutant	detect-complete-root-unavailable
neg-bc02-healthy-retry	BC02_HEALTHY_RETRY	sut-mutant	detect-poisoned-healthy-retry
neg-bc02-incomplete-as-complete	BC02_INCOMPLETE_AS_COMPLETE	counterfactual	detect-incomplete-root-availability
neg-bc02-partial-residue	BC02_PARTIAL_RESIDUE	fault	detect-partial-root-residue
neg-bc02-poisoned-retry	BC02_POISONED_RETRY	fault	detect-fault-poisoned-retry
neg-bc02-rollback-complete	BC02_ROLLBACK_COMPLETE	fault	detect-incomplete-rollback
neg-bc03-accepted-head	BC03_ACCEPTED_HEAD	sut-mutant	detect-missing-accepted-head
neg-bc03-publication-separate	BC03_PUBLICATION_SEPARATE	sut-mutant	detect-publication-root-collapse
neg-bc03-rejected-is-head	BC03_REJECTED_IS_HEAD	counterfactual	detect-rejected-head
neg-bc03-stored-is-head	BC03_STORED_IS_HEAD	counterfactual	detect-stored-only-head
neg-bc03-stored-root-separate	BC03_STORED_ROOT_SEPARATE	sut-mutant	detect-stored-root-publication-collapse
neg-bc03-wrong-authority-head	BC03_WRONG_AUTHORITY_HEAD	counterfactual	detect-wrong-authority-head
neg-bc04-ambient-fallback	BC04_AMBIENT_FALLBACK	counterfactual	detect-ambient-read-fallback
neg-bc04-exact-published-collapse	BC04_EXACT_PUBLISHED_COLLAPSE	sut-mutant	detect-read-mode-collapse
neg-bc04-exact-read	BC04_EXACT_READ	sut-mutant	detect-exact-read-substitution
neg-bc04-published-read	BC04_PUBLISHED_READ	sut-mutant	detect-published-read-substitution
neg-bc04-unaccepted-available	BC04_UNACCEPTED_AVAILABLE	counterfactual	detect-unaccepted-read-availability
neg-bc05-ambient-advance	BC05_AMBIENT_ADVANCE	counterfactual	detect-ambient-closure-substitution
neg-bc05-binding-omission	BC05_BINDING_OMISSION	counterfactual	detect-binding-omission
neg-bc05-complete-closure	BC05_COMPLETE_CLOSURE	sut-mutant	detect-incomplete-closure-success
neg-bc05-definition-omission	BC05_DEFINITION_OMISSION	counterfactual	detect-definition-omission
neg-bc05-missing-as-empty	BC05_MISSING_AS_EMPTY	counterfactual	detect-missing-as-empty
neg-bc05-pinned-knowledge-cut	BC05_PINNED_KNOWLEDGE_CUT	sut-mutant	detect-knowledge-cut-drift
neg-bc05-root-omission	BC05_ROOT_OMISSION	counterfactual	detect-root-omission
neg-bc05-semantics-omission	BC05_SEMANTICS_OMISSION	counterfactual	detect-semantics-omission
neg-bc05-transitive-omission	BC05_TRANSITIVE_OMISSION	counterfactual	detect-transitive-omission
neg-bc06-observation-write	BC06_OBSERVATION_WRITE	sut-mutant	detect-pure-observation-write
neg-bc06-pure-zero-axes	BC06_PURE_ZERO_AXES	sut-mutant	detect-pure-axis-write
neg-bc06-repository-unchanged	BC06_REPOSITORY_UNCHANGED	sut-mutant	detect-pure-inventory-change
neg-bc06-result-write	BC06_RESULT_WRITE	sut-mutant	detect-pure-result-write
neg-bc06-state-write	BC06_STATE_WRITE	sut-mutant	detect-pure-state-write
neg-bc07-effect-101	BC07_EFFECT_101	sut-mutant	detect-effect-axis-mismatch
neg-bc07-observation-without-transition	BC07_OBSERVATION_WITHOUT_TRANSITION	sut-mutant	detect-orphan-observation
neg-bc07-ordinary-000	BC07_ORDINARY_000	sut-mutant	detect-ordinary-axis-write
neg-bc07-record-implies-effect	BC07_RECORD_IMPLIES_EFFECT	sut-mutant	detect-record-state-effect
neg-bc07-record-only-010	BC07_RECORD_ONLY_010	sut-mutant	detect-record-axis-mismatch
neg-bc07-result-rewrite	BC07_RESULT_REWRITE	sut-mutant	detect-effect-result-rewrite
neg-bc08-complete-effect	BC08_COMPLETE_EFFECT	sut-mutant	detect-incomplete-effect-set
neg-bc08-mid-boundary-failure	BC08_MID_BOUNDARY_FAILURE	fault	detect-mid-boundary-partial-effect
neg-bc08-missing-current	BC08_MISSING_CURRENT	sut-mutant	detect-missing-current-pointer
neg-bc08-missing-observation	BC08_MISSING_OBSERVATION	sut-mutant	detect-missing-decision-observation
neg-bc08-missing-result	BC08_MISSING_RESULT	sut-mutant	detect-missing-effect-result
neg-bc08-missing-transition	BC08_MISSING_TRANSITION	sut-mutant	detect-missing-state-transition
neg-bc08-missing-view	BC08_MISSING_VIEW	sut-mutant	detect-missing-complete-view
neg-bc09-diagnostic-ephemeral	BC09_DIAGNOSTIC_EPHEMERAL	sut-mutant	detect-persisted-diagnostic
neg-bc09-duplicate-persists	BC09_DUPLICATE_PERSISTS	counterfactual	detect-duplicate-attempt-artifact
neg-bc09-failpoint-persists	BC09_FAILPOINT_PERSISTS	fault	detect-failpoint-artifact
neg-bc09-failure-no-persistent-artifact	BC09_FAILURE_NO_PERSISTENT_ARTIFACT	sut-mutant	detect-failure-artifact
neg-bc09-incomplete-persists	BC09_INCOMPLETE_PERSISTS	counterfactual	detect-incomplete-attempt-artifact
neg-bc09-rejected-persists	BC09_REJECTED_PERSISTS	counterfactual	detect-rejected-attempt-artifact
neg-bc09-stale-persists	BC09_STALE_PERSISTS	counterfactual	detect-stale-attempt-artifact
neg-bc10-explanation-closed	BC10_EXPLANATION_CLOSED	sut-mutant	detect-explanation-closure-loss
neg-bc10-explanation-leak	BC10_EXPLANATION_LEAK	observer-mutant	detect-filtered-explanation-leak
neg-bc10-replay-closed	BC10_REPLAY_CLOSED	sut-mutant	detect-replay-closure-loss
neg-bc10-replay-leak	BC10_REPLAY_LEAK	observer-mutant	detect-filtered-replay-leak
neg-bc10-result-closed	BC10_RESULT_CLOSED	sut-mutant	detect-result-closure-loss
neg-bc10-result-leak	BC10_RESULT_LEAK	observer-mutant	detect-filtered-result-leak
neg-bc10-view-closed	BC10_VIEW_CLOSED	sut-mutant	detect-view-closure-loss
neg-bc10-view-leak	BC10_VIEW_LEAK	observer-mutant	detect-filtered-view-leak
neg-bc11-explanation-closure	BC11_EXPLANATION_CLOSURE	sut-mutant	detect-explanation-member-loss
neg-bc11-finding-cross-link	BC11_FINDING_CROSS_LINK	sut-mutant	detect-missing-cross-link-finding
neg-bc11-finding-dangling	BC11_FINDING_DANGLING	sut-mutant	detect-missing-dangling-finding
neg-bc11-latest-substitution	BC11_LATEST_SUBSTITUTION	counterfactual	detect-latest-replay-substitution
neg-bc11-missing-as-empty	BC11_MISSING_AS_EMPTY	counterfactual	detect-replay-missing-as-empty
neg-bc11-replay-result	BC11_REPLAY_RESULT	sut-mutant	detect-replay-result-drift
neg-bc11-silent-cross-link	BC11_SILENT_CROSS_LINK	sut-mutant	detect-silent-cross-link-repair
neg-bc11-silent-dangling	BC11_SILENT_DANGLING	sut-mutant	detect-silent-dangling-repair
neg-bc12-archive-bypass	BC12_ARCHIVE_BYPASS	counterfactual	detect-archive-state-bypass
neg-bc12-canonical-unchanged	BC12_CANONICAL_UNCHANGED	sut-mutant	detect-placement-inventory-change
neg-bc12-decision-provenance	BC12_DECISION_PROVENANCE	evidence-mutant	detect-decision-provenance-loss
neg-bc12-derived-protection	BC12_DERIVED_PROTECTION	sut-mutant	detect-protection-derivation-loss
neg-bc12-eligibility-delete	BC12_ELIGIBILITY_DELETE	sut-mutant	detect-eligibility-as-delete
neg-bc12-forget-bypass	BC12_FORGET_BYPASS	counterfactual	detect-forget-bypass
neg-bc12-forget-consumed	BC12_FORGET_CONSUMED	sut-mutant	detect-unconsumed-forget
neg-bc12-noop-evaluator	BC12_NOOP_EVALUATOR	sut-mutant	detect-noop-placement-evaluator
neg-bc12-placement-decision	BC12_PLACEMENT_DECISION	sut-mutant	detect-placement-decision-loss
neg-bc12-protection-bypass	BC12_PROTECTION_BYPASS	counterfactual	detect-protection-bypass
neg-bc12-window-bypass	BC12_WINDOW_BYPASS	counterfactual	detect-policy-window-bypass
