bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	010	fault-configuration-valid	fault-configuration-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	020	activation-bound	fault-activation-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	030	trigger-bound	evidence-binding-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	040	command-nonzero	command-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	050	exact-error-identity	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	060	transient-shape	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	070	same-connection-health	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	080	setup-inventory-exact	inventory-setup-before.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	090	rollback-inventory-exact	inventory-rollback-after.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	100	target-residue-zero	inventory-rollback-after.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	110	no-commit	data-version-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-header	gate-set-partial	120	reopened-unavailable	resolution-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	010	fault-configuration-valid	fault-configuration-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	020	activation-bound	fault-activation-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	030	trigger-bound	evidence-binding-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	040	command-nonzero	command-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	050	exact-error-identity	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	060	transient-shape	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	070	same-connection-health	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	080	setup-inventory-exact	inventory-setup-before.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	090	rollback-inventory-exact	inventory-rollback-after.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	100	target-residue-zero	inventory-rollback-after.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	110	no-commit	data-version-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-partial-residue--case-bc02-after-root-member	gate-set-partial	120	reopened-unavailable	resolution-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-poisoned-retry--case-bc02-after-root-header	gate-set-poisoned	010	fault-configuration-valid	fault-configuration-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-poisoned-retry--case-bc02-after-root-header	gate-set-poisoned	020	activation-bound	fault-activation-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-poisoned-retry--case-bc02-after-root-header	gate-set-poisoned	030	trigger-bound	evidence-binding-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-poisoned-retry--case-bc02-after-root-header	gate-set-poisoned	040	command-nonzero	command-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
bc02-poisoned-retry--case-bc02-after-root-header	gate-set-poisoned	050	exact-error-identity	fault-trigger-receipts.tsv	{evidence-sha256}	PASS	-	{evaluator-revision}
