bc08-complete-effect--case-bc08-complete	authoritative-state	scope-1	revision	rev-1	0001
bc08-complete-effect--case-bc08-complete	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-complete-effect--case-bc08-complete	evaluation-result	result-1	digest	digest-result-1	0001
bc08-complete-effect--case-bc08-complete	evaluation-result	result-1	payload	public-a	0001
bc08-mid-boundary-failure--case-bc08-boundary	authoritative-state	scope-1	revision	rev-1	0001
bc08-mid-boundary-failure--case-bc08-boundary	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-mid-boundary-failure--case-bc08-boundary	evaluation-result	result-1	digest	digest-result-1	0001
bc08-mid-boundary-failure--case-bc08-boundary	evaluation-result	result-1	payload	public-a	0001
bc08-missing-current--case-bc08-current	authoritative-state	scope-1	revision	rev-1	0001
bc08-missing-current--case-bc08-current	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-missing-current--case-bc08-current	evaluation-result	result-1	digest	digest-result-1	0001
bc08-missing-current--case-bc08-current	evaluation-result	result-1	payload	public-a	0001
bc08-missing-observation--case-bc08-observation	authoritative-state	scope-1	revision	rev-1	0001
bc08-missing-observation--case-bc08-observation	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-missing-observation--case-bc08-observation	evaluation-result	result-1	digest	digest-result-1	0001
bc08-missing-observation--case-bc08-observation	evaluation-result	result-1	payload	public-a	0001
bc08-missing-result--case-bc08-result	authoritative-state	scope-1	revision	rev-1	0001
bc08-missing-result--case-bc08-result	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-missing-result--case-bc08-result	evaluation-result	result-1	digest	digest-result-1	0001
bc08-missing-result--case-bc08-result	evaluation-result	result-1	payload	public-a	0001
bc08-missing-transition--case-bc08-transition	authoritative-state	scope-1	revision	rev-1	0001
bc08-missing-transition--case-bc08-transition	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-missing-transition--case-bc08-transition	evaluation-result	result-1	digest	digest-result-1	0001
bc08-missing-transition--case-bc08-transition	evaluation-result	result-1	payload	public-a	0001
bc08-missing-view--case-bc08-view	authoritative-state	scope-1	revision	rev-1	0001
bc08-missing-view--case-bc08-view	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
bc08-missing-view--case-bc08-view	evaluation-result	result-1	digest	digest-result-1	0001
bc08-missing-view--case-bc08-view	evaluation-result	result-1	payload	public-a	0001
