harness-bc06-copied-run	evidence-mutant	copied-run-receipt	BC06_COPIED_RUN_DETECTED
harness-bc06-noop	harness-mutant	no-outcome	BC06_SUT_OUTCOME_MISSING
harness-bc06-observer-synthesis	observer-mutant	normalized-without-raw	BC06_COVERAGE_INVALID
harness-bc06-raw-post-seal-tamper	evidence-mutant	raw-post-seal-tamper	BC06_RAW_SEAL_INVALID
harness-bc06-second-run-drift	harness-mutant	second-run-seed-drift	BC06_SECOND_RUN_DRIFT_DETECTED
harness-bc06-sentinel-leak	harness-mutant	cross-namespace-sentinel	BC06_SENTINEL_LEAK_DETECTED
neg-bc06-observation-write	sut-mutant	decision-observation-write	BC06_OBSERVATION_WRITE_DETECTED
neg-bc06-pure-zero-axes	sut-mutant	all-three-axis-write	BC06_AXIS_WRITE_DETECTED
neg-bc06-repository-unchanged	sut-mutant	same-cardinality-value-update	BC06_REPOSITORY_DRIFT_DETECTED
neg-bc06-result-write	sut-mutant	persisted-result-write	BC06_RESULT_WRITE_DETECTED
neg-bc06-state-write	sut-mutant	authoritative-state-write	BC06_STATE_WRITE_DETECTED
