harness-bc02-armed-not-reached	evidence-mutant	mutant-armed-not-reached	BC02_FAULT_NOT_TRIGGERED	set-fault
harness-bc02-availability-synthesis	observer-mutant	mutant-availability-synthesis	BC02_COVERAGE_INVALID	set-all
harness-bc02-commit-compensate	sut-mutant	mutant-commit-compensate	BC02_COMMIT_WITNESS_CHANGED	set-fault
harness-bc02-correction-cleanup	sut-mutant	mutant-correction-cleans-root	BC02_CORRECTION_WRITESET_INVALID	set-healthy
harness-bc02-correction-forbidden-write	sut-mutant	mutant-correction-forbidden-write	BC02_CORRECTION_WRITESET_INVALID	set-healthy
harness-bc02-coverage-tamper	evidence-mutant	mutant-coverage-tamper	BC02_COVERAGE_INVALID	set-all
harness-bc02-fresh-observer	evidence-mutant	mutant-fresh-observer-per-read	BC02_OBSERVER_CUSTODY_INVALID	set-fault
harness-bc02-header-residue	sut-mutant	mutant-header-commit	BC02_PARTIAL_ROOT_RESIDUE	set-fault-header
harness-bc02-ignored-activation-digest	evidence-mutant	mutant-wrong-activation-digest	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-ignored-ancestry-count	evidence-mutant	mutant-wrong-transient-ancestry-count	BC02_FAULT_SHAPE_INVALID	set-fault
harness-bc02-ignored-ddl-literal	evidence-mutant	mutant-wrong-error-literal-digest	BC02_TRIGGER_CONFIGURATION_INVALID	set-fault
harness-bc02-ignored-ddl-predicate	evidence-mutant	mutant-wrong-when-predicate-digest	BC02_TRIGGER_CONFIGURATION_INVALID	set-fault
harness-bc02-ignored-header-count	evidence-mutant	mutant-wrong-transient-header-count	BC02_FAULT_SHAPE_INVALID	set-fault
harness-bc02-ignored-member-count	evidence-mutant	mutant-wrong-transient-member-count	BC02_FAULT_SHAPE_INVALID	set-fault
harness-bc02-ignored-parsed-literal	evidence-mutant	mutant-wrong-parsed-literal-digest	BC02_TRIGGER_EVIDENCE_INVALID	set-fault
harness-bc02-ignored-raw-stderr	evidence-mutant	mutant-wrong-raw-stderr-digest	BC02_TRIGGER_EVIDENCE_INVALID	set-fault
harness-bc02-incidental-error	evidence-mutant	mutant-incidental-sqlite-error	BC02_ERROR_IDENTITY_INVALID	set-fault
harness-bc02-layout-extra-path	evidence-mutant	mutant-extra-layout-path	BC02_LAYOUT_INVALID	set-all
harness-bc02-layout-mode	evidence-mutant	mutant-wrong-file-mode	BC02_LAYOUT_INVALID	set-all
harness-bc02-member-residue	sut-mutant	mutant-member-commit	BC02_PARTIAL_ROOT_RESIDUE	set-fault-member
harness-bc02-missing-artifact	evidence-mutant	mutant-missing-required-artifact	BC02_REQUIRED_ARTIFACT_MISSING	set-all
harness-bc02-prebegin-noop	sut-mutant	mutant-prebegin-noop	BC02_FAULT_NOT_TRIGGERED	set-fault
harness-bc02-present-empty	evidence-mutant	mutant-present-empty	BC02_ARTIFACT_SHAPE_INVALID	set-all
harness-bc02-raw-tamper	evidence-mutant	mutant-raw-tamper	BC02_RAW_SEAL_INVALID	set-all
harness-bc02-receipt-tamper	evidence-mutant	mutant-receipt-tamper	BC02_RECEIPT_CUSTODY_INVALID	set-all
harness-bc02-replayed-trigger	evidence-mutant	mutant-replayed-trigger	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-residue-filter	observer-mutant	mutant-residue-filter	BC02_COVERAGE_INVALID	set-partial
harness-bc02-retry-duplicate	sut-mutant	mutant-retry-duplicates-root	BC02_RETRY_DUPLICATION	set-retry
harness-bc02-retry-hook	sut-mutant	mutant-retry-retriggers-hook	BC02_RETRY_HOOK_LEAK	set-poisoned
harness-bc02-substitution	counterfactual	mutant-count-only-completeness	BC02_INCOMPLETE_ROOT_ACCEPTED	set-substitution
harness-bc02-trigger-false	evidence-mutant	mutant-trigger-false	BC02_FAULT_NOT_TRIGGERED	set-fault
harness-bc02-trigger-missing	evidence-mutant	mutant-trigger-missing	BC02_FAULT_NOT_TRIGGERED	set-fault
harness-bc02-wrong-attempt	evidence-mutant	mutant-wrong-attempt	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-case	evidence-mutant	mutant-wrong-case	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-hook	evidence-mutant	mutant-wrong-hook	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-namespace	evidence-mutant	mutant-wrong-namespace	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-nonce	evidence-mutant	mutant-wrong-nonce	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-operation	evidence-mutant	mutant-wrong-operation	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-phase	evidence-mutant	mutant-wrong-phase	BC02_FAULT_BINDING_INVALID	set-fault
harness-bc02-wrong-revision	evidence-mutant	mutant-wrong-implementation-revision	BC02_FAULT_BINDING_INVALID	set-fault
neg-bc02-complete-available	sut-mutant	mutant-complete-as-unavailable	BC02_COMPLETE_ROOT_REQUIRED	set-complete
neg-bc02-healthy-retry	sut-mutant	mutant-retry-rejected	BC02_HEALTHY_RETRY_REQUIRED	set-healthy
neg-bc02-incomplete-as-complete	counterfactual	mutant-incomplete-as-complete	BC02_INCOMPLETE_ROOT_ACCEPTED	set-incomplete
neg-bc02-partial-residue	fault	mutant-partial-residue	BC02_PARTIAL_ROOT_RESIDUE	set-partial
neg-bc02-poisoned-retry	fault	mutant-poisoned-retry	BC02_POISONED_RETRY_DETECTED	set-poisoned
neg-bc02-rollback-complete	fault	mutant-incomplete-rollback	BC02_ROLLBACK_INCOMPLETE	set-rollback
