BC01	CC01	BC01_ASSOCIATION_IDEMPOTENT	positive	PASS	ok	norm-bc01-observation	-
BC01	CC01	BC01_DISTINCT_OCCURRENCE	positive	PASS	ok	norm-bc01-observation	-
BC01	CC01	BC01_OCCURRENCE_COLLAPSE	control	PASS	ok	norm-bc01-observation	neg-bc01-occurrence-collapse
BC01	CC01	BC01_PAYLOAD_COLLISION	control	PASS	ok	norm-bc01-observation	neg-bc01-payload-collision
BC01	CC01	BC01_RETRY_DUPLICATION	control	PASS	ok	norm-bc01-observation	neg-bc01-retry-duplication
BC02	CC02	BC02_COMPLETE_AVAILABLE	positive	PASS	ok	norm-bc02-observation	-
BC02	CC02	BC02_HEALTHY_RETRY	positive	PASS	ok	norm-bc02-observation	-
BC02	CC02	BC02_INCOMPLETE_AS_COMPLETE	control	PASS	ok	norm-bc02-observation	neg-bc02-incomplete-as-complete
BC02	CC02	BC02_PARTIAL_RESIDUE	control	PASS	ok	norm-bc02-observation	neg-bc02-partial-residue
BC02	CC02	BC02_POISONED_RETRY	control	PASS	ok	norm-bc02-observation	neg-bc02-poisoned-retry
BC02	CC02	BC02_ROLLBACK_COMPLETE	positive	PASS	ok	inventory-repository	-
BC03	CC03	BC03_ACCEPTED_HEAD	positive	PASS	ok	norm-bc03-observation	-
BC03	CC03	BC03_PUBLICATION_SEPARATE	positive	PASS	ok	norm-bc03-observation	-
BC03	CC03	BC03_REJECTED_IS_HEAD	control	PASS	ok	norm-bc03-observation	neg-bc03-rejected-is-head
BC03	CC03	BC03_STORED_IS_HEAD	control	PASS	ok	norm-bc03-observation	neg-bc03-stored-is-head
BC03	CC03	BC03_STORED_ROOT_SEPARATE	positive	PASS	ok	norm-bc03-observation	-
BC03	CC03	BC03_WRONG_AUTHORITY_HEAD	control	PASS	ok	norm-bc03-observation	neg-bc03-wrong-authority-head
BC04	CC04	BC04_AMBIENT_FALLBACK	control	PASS	ok	norm-bc04-observation	neg-bc04-ambient-fallback
BC04	CC04	BC04_EXACT_PUBLISHED_COLLAPSE	control	PASS	ok	norm-bc04-observation	neg-bc04-exact-published-collapse
BC04	CC04	BC04_EXACT_READ	positive	PASS	ok	norm-bc04-observation	-
BC04	CC04	BC04_PUBLISHED_READ	positive	PASS	ok	norm-bc04-observation	-
BC04	CC04	BC04_UNACCEPTED_AVAILABLE	control	PASS	ok	norm-bc04-observation	neg-bc04-unaccepted-available
BC05	CC05	BC05_AMBIENT_ADVANCE	control	PASS	ok	norm-bc05-observation	neg-bc05-ambient-advance
BC05	CC05	BC05_BINDING_OMISSION	control	PASS	ok	norm-bc05-observation	neg-bc05-binding-omission
BC05	CC05	BC05_COMPLETE_CLOSURE	positive	PASS	ok	norm-bc05-observation	-
BC05	CC05	BC05_DEFINITION_OMISSION	control	PASS	ok	norm-bc05-observation	neg-bc05-definition-omission
BC05	CC05	BC05_MISSING_AS_EMPTY	control	PASS	ok	norm-bc05-observation	neg-bc05-missing-as-empty
BC05	CC05	BC05_PINNED_KNOWLEDGE_CUT	positive	PASS	ok	norm-bc05-observation	-
BC05	CC05	BC05_ROOT_OMISSION	control	PASS	ok	norm-bc05-observation	neg-bc05-root-omission
BC05	CC05	BC05_SEMANTICS_OMISSION	control	PASS	ok	norm-bc05-observation	neg-bc05-semantics-omission
BC05	CC05	BC05_TRANSITIVE_OMISSION	control	PASS	ok	norm-bc05-observation	neg-bc05-transitive-omission
BC06	CC06	BC06_OBSERVATION_WRITE	control	PASS	ok	norm-bc06-observation	neg-bc06-observation-write
