harness-bc10-noop	harness-mutant	missing-action-receipt	BC10_RESULT_CLOSED	BC10_SUT_ACTION_MISSING	BC10_SUT_ACTION_MISSING	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
harness-bc10-observer-synthesis	observer-mutant	normalized-without-raw	BC10_RESULT_CLOSED	BC10_COVERAGE_INVALID	BC10_COVERAGE_INVALID	1	74f9a7fe2d391d741054cc09d36ec326e81f4285a83590cad21d0962d5496443
harness-bc10-raw-post-seal	evidence-mutant	raw-post-seal-tamper	BC10_RESULT_CLOSED	BC10_RAW_SEAL_INVALID	BC10_RAW_SEAL_INVALID	1	09783154684faa1fb6a3d640a3709358ae2fbe025b97e1692ea51de9b1472964
neg-bc10-explanation-closed	sut-mutant	explanation-member-loss	BC10_EXPLANATION_CLOSED	BC10_EXPLANATION_CLOSURE_LOSS_DETECTED	BC10_EXPLANATION_CLOSURE_LOSS_DETECTED	1	527ba7de3efc4034b5626f55fba7172a27d7d72f6ae329d3f45f079e5f73d290
neg-bc10-explanation-leak	observer-mutant	explanation-secret-leak	BC10_EXPLANATION_LEAK	BC10_EXPLANATION_SECRET_LEAK_DETECTED	BC10_EXPLANATION_SECRET_LEAK_DETECTED	1	959aaf30624f6ccfec2f9ed207950d36f8b1b8b2bbd8d7c52348e3d8254d3fbf
neg-bc10-replay-closed	sut-mutant	replay-closure-loss	BC10_REPLAY_CLOSED	BC10_REPLAY_CLOSURE_LOSS_DETECTED	BC10_REPLAY_CLOSURE_LOSS_DETECTED	1	305951932528cdeb6cd6d0d9d911ead7f29c3e8e1350c17a6e6737a65b1d3021
neg-bc10-replay-leak	observer-mutant	replay-executor-metadata	BC10_REPLAY_LEAK	BC10_REPLAY_METADATA_LEAK_DETECTED	BC10_REPLAY_METADATA_LEAK_DETECTED	1	ae0cf0b62e3b085460ba513ba7e22752cfb468a02d8312620416eac9e8fae062
neg-bc10-result-closed	sut-mutant	result-closure-loss	BC10_RESULT_CLOSED	BC10_RESULT_CLOSURE_LOSS_DETECTED	BC10_RESULT_CLOSURE_LOSS_DETECTED	1	ff7c7b03b99fe42a5c4480f2ca1f2fc0ddaefecfb10b2ba248879c3138291c17
neg-bc10-result-leak	observer-mutant	result-secret-leak	BC10_RESULT_LEAK	BC10_RESULT_SECRET_LEAK_DETECTED	BC10_RESULT_SECRET_LEAK_DETECTED	1	7758289c5afc900daf5176380376bc51cdc7cb20a26a93a596fc74de70539b29
neg-bc10-view-closed	sut-mutant	view-member-loss	BC10_VIEW_CLOSED	BC10_VIEW_CLOSURE_LOSS_DETECTED	BC10_VIEW_CLOSURE_LOSS_DETECTED	1	dfec383f0deb2b81fb4192ef361e889177da5f4bc606cedbdc4d960cc12ed7a5
neg-bc10-view-leak-provenance	observer-mutant	view-provenance-loss	BC10_VIEW_LEAK	BC10_VIEW_PROVENANCE_LOSS_DETECTED	BC10_VIEW_PROVENANCE_LOSS_DETECTED	1	3e5e19115122e3deb13794eab669429c57edad5d7f3dc415fe4df366202ca461
neg-bc10-view-leak-secret	observer-mutant	view-secret-leak	BC10_VIEW_LEAK	BC10_VIEW_SECRET_LEAK_DETECTED	BC10_VIEW_SECRET_LEAK_DETECTED	1	e59c00b3f929cd7bbe987bb6c7eebbd02ec006967054df2f200e6508ffc0fa56
