harness-bc11-missing-sut-action	harness-mutant	missing-action-receipt	BC11_REPLAY_RESULT	BC11_SUT_ACTION_MISSING	BC11_SUT_ACTION_MISSING	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
harness-bc11-normalized-synthesis-without-raw-coverage	observer-mutant	normalized-without-raw-coverage	BC11_REPLAY_RESULT	BC11_COVERAGE_INVALID	BC11_COVERAGE_INVALID	1	6a87a24fc1a8dfbf8ba0e0bb1a9694dbb2158e70eb1aec86a79939d56ef724d2
harness-bc11-raw-post-seal-tamper	evidence-mutant	raw-post-seal-tamper	BC11_REPLAY_RESULT	BC11_RAW_SEAL_INVALID	BC11_RAW_SEAL_INVALID	1	afdc0128d55093329650cc4d50b5965c30096f6f6e82ebf595499f9b3242dabc
neg-bc11-explanation-closure	sut-mutant	detect-explanation-member-loss	BC11_EXPLANATION_CLOSURE	BC11_EXPLANATION_CLOSURE_LOSS_DETECTED	BC11_EXPLANATION_CLOSURE_LOSS_DETECTED	1	f5bc1a56c28d8013f37ca899a92e06da2d842ac577fdc481659f2d5ec316ab6d
neg-bc11-finding-cross-link	sut-mutant	detect-missing-cross-link-finding	BC11_FINDING_CROSS_LINK	BC11_FINDING_CROSS_LINK_MISSING	BC11_FINDING_CROSS_LINK_MISSING	1	43874fc8c60d0b208fac264f7c7b081c89093d05a7af2989ea24d5663588c7ba
neg-bc11-finding-dangling	sut-mutant	detect-missing-dangling-finding	BC11_FINDING_DANGLING	BC11_FINDING_DANGLING_MISSING	BC11_FINDING_DANGLING_MISSING	1	b23694d00701313ccd44482ac91e5c150fef1ce5eff4cc50a5d788e439f93174
neg-bc11-latest-substitution	counterfactual	detect-latest-replay-substitution	BC11_LATEST_SUBSTITUTION	BC11_LATEST_SUBSTITUTION_MISMATCH_DETECTED	BC11_LATEST_SUBSTITUTION_MISMATCH_DETECTED	1	fcea23583529537bcb68089a965886c11bebb6e5a635bd4b3a279d0f5010d904
neg-bc11-missing-as-empty	counterfactual	detect-replay-missing-as-empty	BC11_MISSING_AS_EMPTY	BC11_MISSING_AS_EMPTY_NOT_DETECTED	BC11_MISSING_AS_EMPTY_NOT_DETECTED	1	4221c64fd933e3f6cb08ce28dd609bbc0b222b16220432825be31b25d48e7b6a
neg-bc11-replay-result	sut-mutant	detect-replay-result-drift	BC11_REPLAY_RESULT	BC11_REPLAY_RESULT_MISMATCH_DETECTED	BC11_REPLAY_RESULT_MISMATCH_DETECTED	1	0f4f43faf1304cfef762b7cbfef7a2b28cb7f129671e1245bbe73674c08ae293
neg-bc11-silent-cross-link	sut-mutant	detect-silent-cross-link-repair	BC11_SILENT_CROSS_LINK	BC11_SILENT_CROSS_LINK_DETECTED	BC11_SILENT_CROSS_LINK_DETECTED	1	fae57ffe08284ea33a8fe084e84fa2c4e88b38f7b7f57d7c053da80fabecd6bf
neg-bc11-silent-dangling	sut-mutant	detect-silent-dangling-repair	BC11_SILENT_DANGLING	BC11_SILENT_DANGLING_DETECTED	BC11_SILENT_DANGLING_DETECTED	1	67ab0c15dd706dcc2d27b5121f3468cedafe8cb63aed68ce05dd4f8fcb17c3e3
